"This is the raw data from the institution: University of Alberta please edit as needed"
id,host,university_title,country,province_state,type,note,created,updated
,calendar.ualberta.ca,"University of Alberta",Canada,Alberta,University,,,
id,university_id,course_title,course_subtitle,course_lettercode,course_number,course_code,course_subject,credit,term,year,campus,description,note,created,updated
,,"Study Term Abroad",,ABROD,800,,,0,,2016-2017,,"This course is reserved for students who wish to maintain registration while participating in formal University of Alberta managed and approved Study Abroad programs. Students are registered in this course for each approved term of study abroad. The only fees assessed for this registration are the normal registration and transcript fees associated with the term. Students are eligible to register in the course on more than one occasion. Closed to web registration. Contact the Education Abroad Program, University of Alberta International.","(fi 0) ",,
,,"Introduction to Accounting",,ACCTG,300,,,3,"either term",2016-2017,,"Provides a basic understanding of accounting: how accounting numbers are generated, the meaning of accounting reports, and how to use accounting reports to make decisions. Note: Not open to students registered in the Faculty of Business. Not for credit in the Bachelor of Commerce Program.","(fi 6) ",,
,,"Introduction to Accounting for Financial Performance",,ACCTG,311,,,3,"either term",2016-2017,,"How to prepare and interpret financial statements that report to decision makers external to the enterprise, such as shareholders and creditors. Course includes principles and standards of balance sheet valuation, income measurement, financial disclosure and cash flow analysis that link preparation and use of such statements. Prerequisites: ECON 101 and 102.","(fi 6) ",,
,,"Introduction to Accounting for Management Decision Making",,ACCTG,322,,,3,"either term",2016-2017,,"In contrast to the external orientation of ACCTG 311, this course focuses on how to prepare and use accounting information for management decision making. Major topics include: the role of corporate goals, planning and control concepts, how costs behave and how to analyze and manage them, budgeting and performance measures. Prerequisite: ACCTG 311.","(fi 6) ",,
,,"Financial Reporting for Managers and Analysts",,ACCTG,412,,,3,"either term",2016-2017,,"Course is for students who are not accounting majors and is especially useful for those contemplating a career in financial management or a CFA designation. It is for students who want to build on the financial accounting knowledge developed in ACCTG 311, and provides the necessary foundation for courses in financial statement analysis and tax. Further depth is provided in balance sheet valuation, income measurement, earnings per share and cash flow analysis. Prerequisite: ACCTG 311. Corequisite: FIN 301. Not open to students with credit in ACCTG 414 or 415.","(fi 6) ",,
,,"Intermediate Financial Accounting I",,ACCTG,414,,,3,"either term",2016-2017,,"First of two courses covering principles, methods and applications of current and proposed Generally Accepted Accounting Principles (GAAP). Emphasizes accounting for operating and investment assets, and related income measurement and disclosure. Prerequisites: ACCTG 311 and 322. Not open to students with credit in ACCTG 412. There is a consolidated exam for ACCTG 414.","(fi 6) ",,
,,"Intermediate Financial Accounting II",,ACCTG,415,,,3,"either term",2016-2017,,"Second of two courses (see ACCTG 414) covering principles, methods and applications of current and proposed Generally Accepted Accounting Principles (GAAP). Emphasizes accounting for financing, liabilities and equity, related income measurement and disclosure, and cash flow. Prerequisites: FIN 301, and a minimum grade of C- in ACCTG 414 or 412.","(fi 6) ",,
,,"Accounting Theory and Current Issues",,ACCTG,416,,,3,"either term",2016-2017,,"Major concepts and current issues in accounting thought are examined in an interactive setting. Topics include: the conceptual framework, standard-setting, concepts of income and value, accounting's role in capital markets and in contracts such as for lending and compensation, and recent and emerging issues related to financial and managerial accounting information. Prerequisites: ACCTG 414 or 412; FIN 301. Open only to fourth-year Business students, or by consent of the Department Chair. There is a consolidated exam for ACCTG 416.","(fi 6) ",,
,,"Advanced Financial Accounting",,ACCTG,418,,,3,"either term",2016-2017,,"The course analyzes the concepts and practices underlying financial reporting in more complex areas such as business combinations, multinational operations, future income taxes and not for profit organizations. Prerequisite: ACCTG 415. Open only to fourth-year Business students or by consent of the Department Chair.","(fi 6) ",,
,,"Intermediate Management Accounting",,ACCTG,424,,,3,"either term",2016-2017,,"Emphasizes mastery of techniques for implementation and evaluation of cost systems for management and decision making. Cost issues include: accumulating and analyzing costs using actual, standard and activity-based approaches, overhead allocation and cost estimation. Management topics include: pricing, production and investment decisions, revenue analysis, performance evaluation, management incentive systems and strategy analysis. Linear programming and multiple regression may be used. Prerequisites: ACCTG 322 and MGTSC 312. There is a consolidated exam for ACCTG 424.","(fi 6) ",,
,,"Management Control Systems",,ACCTG,426,,,3,"either term",2016-2017,,"Current research and cases in accounting and control with a particular focus on strategy, governance and control processes in modern organizations. Topics include: control system design (including governance and audit), responsibility accounting, performance management, and strategic management accounting. Prerequisite: ACCTG 424. Open only to fourth year Business students, or by consent of Department Chair.","(fi 6) ",,
,,"Financial Statement Analysis I",,ACCTG,432,,,3,"either term",2016-2017,,"May be taken on its own or as the first of a two-course sequence that develops student competence in using financial information. Using case analysis, students learn to value a firm through the use of a five-step process: (1) examination of firm's industry, markets and strategy, (2) evaluation of firm's accounting policies and their impact on the financial reports, (3) applying fundamental analysis to assess financial strengths and weaknesses, (4) forecasting future earnings and cash flows, and (5) applying valuation models. Corequisites: ACCTG 415 or 412.","(fi 6) ",,
,,"Information, Ethics and Society",,ACCTG,435,,,3,"either term",2016-2017,,"For students in all majors who are interested in information and the roles it plays in business and society. Focus is on the nature and basic characteristics of information, and its importance in contemporary society, viewing information as a commodity that is produced, used, bought and sold. Two aspects of the ways in which information affects people are emphasized: (1) ethical issues relating to professions, businesses, government, and individuals; (2) the impact of information technology and technological change on society. Prerequisites: Open only to third or fourth year Business students, or by consent of the Department Chair. Credit may be granted for only one of ACCTG 435, BUS 435 or MIS 435.","(fi 6) ",,
,,"Accounting Information Systems",,ACCTG,437,,,3,"either term",2016-2017,,"An introduction to the field of computerized accounting information systems in organizations: basic transaction processing, record updating and maintenance, and financial and managerial reporting functions. Concentrates on the scope of accounting information systems in organizations; impacts of computerized accounting information systems on the role of the professional accountants; design issues for accounting information systems: security, accuracy, integrity, recovery, and operational control issues relating to accounting information systems; and impacts of computerized accounting information systems on the auditing processes in organizations. Prerequisites: ACCTG 311, 322, MIS 311. Credit may be granted for only one of ACCTG 437 or MIS 437.","(fi 6) ",,
,,"Assurance on Financial Information",,ACCTG,456,,,3,"either term",2016-2017,,"Focuses on the external auditor's provision of assurance services on financial information. Topics include: society's demand for various assurance services; the role, profession, ethics, independence and liability of the assurance provider; assurance risk and strategy; assurance planning, operations and reports; computerization and internal control; and emerging assurance services. Prerequisite: ACCTG 414 or 412.","(fi 6) ",,
,,"Accounting for Natural Resources, Energy, and the Environment",,ACCTG,463,,,3,"either term",2016-2017,,"This course covers accounting rules and practice in the area of natural resources, energy and the environment. Some topics include mineral rights and exploration costs, emissions trading, environmental reporting and liabilities. While it does contain technical material, it is meant for both accounting and non-accounting students. Both International and U.S. generally accepted accounting principles (GAAP) will be explored. The focus will be on understanding how firms in this area report their natural resource assets and related liabilities. Prerequisite: ACCTG 311. ACCTG 412 or 414 are recommended.","(fi 6) ",,
,,"Basic Income Tax",,ACCTG,467,,,3,"either term",2016-2017,,"Examines the concepts, regulations and interpretations underlying individual and corporate income tax from the tax professional's perspective. Topics include: structure of the Income Tax Act, residency requirements, employment income, business and property income, capital gains, and the calculation of tax payable for individuals. Tax planning is introduced and opportunities for tax planning are identified where appropriate as topics are covered. Prerequisite: ACCTG 414 or 412.","(fi 6) ",,
,,"Corporate Taxation",,ACCTG,468,,,3,"either term",2016-2017,,"A study of the major tax concepts behind the specific provisions of the Income Tax Act in the taxation of corporations, corporate distributions and transactions between corporations and their shareholders. Emphasis on applying the Act in practical problems and case settings. Prerequisite: ACCTG 467.","(fi 6) ",,
,,"Accounting Honors Seminar Part I",,ACCTG,480,,,3,"second term",2016-2017,,"This is primarily a case-based course that covers the preparation of integrated pro forma financial statements and their use in making financial decisions, as well as selected other topics in financial accounting. Topics will vary from year to year with case selection, and may include (but are not necessarily limited to) the areas of revenue recognition, cash flow analysis, intangible assets, asset impairment, inter-corporate investments, hybrid debt securities, leases, pensions, and equity-based compensation. While the course contains sufficient technical material to ensure familiarity with the financial reporting issues discussed, the main emphasis of the course will be on the interpretation and use of financial information for purposes of decision making. Prerequisites: ACCTG 415, FIN 301","(fi 6) ",,
,,"Accounting Honors Seminar Part II",,ACCTG,481,,,3,"either term",2016-2017,,"This course covers 3 topic areas: (1) History of accounting thought including coverage of current standard setting activities, (2) Professionalism in accounting including exposure to current practical issues requiring professional judgment, and (3) Exposure to current accounting research and design of research studies. Prerequisite: ACCTG 415.","(fi 6) ",,
,,"Selected Topics in Accounting",,ACCTG,488,,,3,"either term",2016-2017,,"Acceptable as a Group A elective in the Major in Accounting. Normally restricted to third- and fourth-year Business students. Prerequisites: ACCTG 311, 322 or consent of Department. Additional prerequisites may be required.","(fi 6) ",,
,,"Individual Research Project I",,ACCTG,495,,,3,"either term",2016-2017,,"Special Study for advanced undergraduates. May be considered as a Group A or Group B elective at the discretion of the Department. Prerequisites: consent of Instructor and Assistant Dean, Undergraduate Program.","(fi 6) ",,
,,"Individual Research Project II",,ACCTG,496,,,3,"either term",2016-2017,,"Special Study for advanced undergraduates. Prerequisites: ACCTG 495, consent of the Instructor and Assistant Dean, Undergraduate Program.","(fi 6) ",,
